Mass Particles
1530.86 5062
1731.0346 18625
1770.865 8439
2067.4066 14707
2854.8248 32595
2864.9605 39402
3039.1603 7114
3123.8436 11594
3453.1099 70692
3753.0965 17606
3796.4565 24256
3811.0364 41129
3917.2096 7937
4064.9084 63049
4126.4812 11996
4279.2852 18337
4386.8701 40295
4509.8137 180457
4597.9459 31174
4725.9139 19495
4829.8316 53279
4850.7453 17539
4900.5894 86370
4971.4454 16679
5006.5099 17333
5030.4204 42737
5170.5336 15801
5407.9868 94555
5627.4522 109801
5698.8184 17141
5993.49 3635
6094.5266 31823
6359.7183 8099
6386.7697 16951
6445.5081 2499
6468.3885 25093
6666.6194 15324
6906.7875 54070
7149.6598 17095
7477.9835 22975
7651.2018 30043
7863.9805 39887
8004.5645 529595
8345.0115 20528
8429.2329 94552
8530.5106 11365
8596.0868 7353
8795.2361 25887
8822.1697 102758
8893.4691 24248
8948.5025 31136
9116.8565 9937
10340.7491 227959
10756.1114 23818
10900.89 53012
10993.609 10457
11013.4117 79728
11107.0996 4444
11229.228 241995
11405.5274 11486
11930.7152 34278
13151.96 14903
13205.5124 6551
13536.3796 89189
14434.515 26364
14734.3939 790757
15418.4692 107546
15592.13 31038
15735.1965 13582
15888.1875 37685
16041.2227 12782
17573.3745 4809
18097.6237 31921
18605.1427 137432
19521.4403 12079
22061.4752 10633
23686.0309 219
25834.6869 231362
26062.3343 79045
30442.8774 293430
41015.2531 85466
